id,Season,Match,Venue,Winner,Wonby,PlayerOfTheMatch,Team1Players,Team2Players,Team1,Team1Run,Team2,Team2run
1312200,2022,Final,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Wickets,HH Pandya,"YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Ashwin,R Parag,TA Boult,OC McCoy,M Prasidh Krishna,YS Chahal","WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,LH Ferguson,Yash Dayal,Mohammed Shami",Rajasthan Royals,130,Gujarat Titans,133
1312199,2022,Qualifier 2,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Wickets,JC Buttler,"V Kohli,F du Plessis,RM Patidar,GJ Maxwell,MK Lomror,KD Karthik,Shahbaz Ahmed,PWH de Silva,HV Patel,JR Hazlewood,Mohammed Siraj","YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy",Royal Challengers Bangalore,157,Rajasthan Royals,161
1312198,2022,Eliminator,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Runs,RM Patidar,"V Kohli,F du Plessis,RM Patidar,GJ Maxwell,MK Lomror,KD Karthik,Shahbaz Ahmed,HV Patel,PWH de Silva,JR Hazlewood,Mohammed Siraj","Q de Kock,KL Rahul,M Vohra,DJ Hooda,MP Stoinis,E Lewis,KH Pandya,PVD Chameera,Mohsin Khan,Avesh Khan,Ravi Bishnoi",Royal Challengers Bangalore,207,Lucknow Super Giants,193
1312197,2022,Qualifier 1,"Eden Gardens, Kolkata",Gujarat Titans,Wickets,DA Miller,"YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy","WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,AS Joseph,Yash Dayal,Mohammed Shami",Rajasthan Royals,188,Gujarat Titans,191
1304116,2022,70,"Wankhede Stadium, Mumbai",Punjab Kings,Wickets,Harpreet Brar,"PK Garg,Abhishek Sharma,RA Tripathi,AK Markram,N Pooran,Washington Sundar,R Shepherd,J Suchith,B Kumar,Umran Malik,Fazalhaq Farooqi","JM Bairstow,S Dhawan,M Shahrukh Khan,MA Agarwal,LS Livingstone,JM Sharma,PN Mankad,Harpreet Brar,K Rabada,NT Ellis,Arshdeep Singh",Sunrisers Hyderabad,157,Punjab Kings,160
1304115,2022,69,"Wankhede Stadium, Mumbai",Mumbai Indians,Wickets,JJ Bumrah,"PP Shaw,DA Warner,MR Marsh,RR Pant,SN Khan,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed","Ishan Kishan,RG Sharma,D Brevis,Tilak Varma,TH David,Ramandeep Singh,DR Sams,HR Shokeen,JJ Bumrah,M Markande,RP Meredith",Delhi Capitals,159,Mumbai Indians,160
1304114,2022,68,"Brabourne Stadium, Mumbai",Rajasthan Royals,Wickets,R Ashwin,"RD Gaikwad,DP Conway,MM Ali,N Jagadeesan,AT Rayudu,MS Dhoni,MJ Santner,Simarjeet Singh,Mukesh Choudhary,PH Solanki,M Pathirana","YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Ashwin,SO Hetmyer,R Parag,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy",Chennai Super Kings,150,Rajasthan Royals,151
1304113,2022,67,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Wickets,V Kohli,"WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,LH Ferguson,Yash Dayal,Mohammed Shami","V Kohli,F du Plessis,GJ Maxwell,KD Karthik,RM Patidar,MK Lomror,Shahbaz Ahmed,HV Patel,PWH de Silva,JR Hazlewood,S Kaul",Gujarat Titans,168,Royal Challengers Bangalore,170
1304112,2022,66,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Runs,Q de Kock,"Q de Kock,KL Rahul,E Lewis,DJ Hooda,M Vohra,MP Stoinis,JO Holder,K Gowtham,Mohsin Khan,Avesh Khan,Ravi Bishnoi","VR Iyer,A Tomar,N Rana,SS Iyer,SW Billings,AD Russell,RK Singh,SP Narine,UT Yadav,TG Southee,CV Varun",Lucknow Super Giants,210,Kolkata Knight Riders,208
1304111,2022,65,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Runs,RA Tripathi,"Abhishek Sharma,PK Garg,RA Tripathi,N Pooran,AK Markram,KS Williamson,Washington Sundar,B Kumar,Umran Malik,T Natarajan,Fazalhaq Farooqi","RG Sharma,Ishan Kishan,DR Sams,Tilak Varma,TH David,T Stubbs,Ramandeep Singh,R Sanjay Yadav,JJ Bumrah,M Markande,RP Meredith",Sunrisers Hyderabad,193,Mumbai Indians,190
1304110,2022,64,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Runs,SN Thakur,"DA Warner,SN Khan,MR Marsh,Lalit Yadav,RR Pant,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed","JM Bairstow,S Dhawan,PBB Rajapaksa,LS Livingstone,MA Agarwal,JM Sharma,Harpreet Brar,R Dhawan,RD Chahar,K Rabada,Arshdeep Singh",Delhi Capitals,159,Punjab Kings,142
1304109,2022,63,"Brabourne Stadium, Mumbai",Rajasthan Royals,Runs,TA Boult,"YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Parag,JDS Neesham,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,OC McCoy","Q de Kock,KL Rahul,A Badoni,DJ Hooda,KH Pandya,MP Stoinis,JO Holder,PVD Chameera,Mohsin Khan,Avesh Khan,Ravi Bishnoi",Rajasthan Royals,178,Lucknow Super Giants,154
1304108,2022,62,"Wankhede Stadium, Mumbai",Gujarat Titans,Wickets,WP Saha,"RD Gaikwad,DP Conway,MM Ali,N Jagadeesan,S Dube,MS Dhoni,MJ Santner,PH Solanki,Simarjeet Singh,M Pathirana,Mukesh Choudhary","WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,AS Joseph,Yash Dayal,Mohammed Shami",Chennai Super Kings,133,Gujarat Titans,137
